Residence,Percentage,Conditions of Having Sex
Urban,1.9,No way to Avoid
Rural,4.2,No way to Avoid
Urban,4.6,Abstain from Sex
Rural,2.9,Abstain from Sex
Urban,40.3,Use condom
Rural,29.5,Use condom
Urban,75.2,One sexual partner
Rural,68.6,One sexual partner
Urban,32.5,Avoid prostitues
Rural,18,Avoid prostitues
Urban,37.2,Avoid injections
Rural,24.2,Avoid injections
Urban,7.6,Don't know any way
Rural,16.1,Don't know any way
Urban,3.4,Percentage with misinformation
Rural,3.3,Percentage with misinformation
